points_3game_avg,points_5game_avg,fga_3game_avg,game_number,def_rating,opp_pts_allowed,pace,is_home_game,target
30.666666666666668,28.0,17.666666666666668,30,110.8,0.0,97.97,1.0,1
32.666666666666664,32.6,19.333333333333332,31,110.8,0.0,97.97,1.0,1
32.0,31.2,18.0,32,110.8,0.0,97.97,1.0,0
30.0,30.8,18.333333333333332,33,110.8,0.0,97.97,1.0,0
33.333333333333336,33.2,20.333333333333332,34,110.8,0.0,97.97,1.0,1
39.333333333333336,36.4,22.0,35,110.8,0.0,97.97,1.0,1
39.0,34.6,24.333333333333332,36,110.8,0.0,97.97,1.0,0
32.333333333333336,33.4,19.333333333333332,37,110.8,0.0,97.97,1.0,0
27.333333333333332,34.8,18.333333333333332,38,110.8,0.0,97.97,1.0,0
28.0,31.4,17.0,39,110.8,0.0,97.97,1.0,0
30.333333333333332,28.0,18.0,40,110.8,0.0,97.97,1.0,1
29.666666666666668,29.2,19.0,41,110.8,0.0,97.97,1.0,1
32.333333333333336,31.4,21.666666666666668,42,110.8,0.0,97.97,1.0,1
29.333333333333332,29.2,20.666666666666668,43,110.8,0.0,97.97,1.0,0
29.0,29.8,17.666666666666668,44,110.8,0.0,97.97,1.0,1
27.0,29.4,16.0,45,110.8,0.0,97.97,1.0,0
28.666666666666668,28.6,17.0,46,110.8,0.0,97.97,1.0,0
34.666666666666664,31.2,21.0,47,110.8,0.0,97.97,1.0,1
36.0,33.4,19.666666666666668,48,110.8,0.0,97.97,1.0,0
38.333333333333336,34.2,22.333333333333332,49,110.8,0.0,97.97,1.0,0
28.0,31.8,17.666666666666668,50,110.8,0.0,97.97,1.0,0
22.0,29.4,16.0,51,110.8,0.0,97.97,1.0,0
22.666666666666668,27.0,14.333333333333334,52,110.8,0.0,97.97,1.0,1
24.666666666666668,25.0,15.666666666666666,53,110.8,0.0,97.97,1.0,0
31.333333333333332,25.2,18.0,54,110.8,0.0,97.97,1.0,1
30.333333333333332,28.4,16.0,55,110.8,0.0,97.97,1.0,1
32.666666666666664,31.4,15.666666666666666,56,110.8,0.0,97.97,1.0,0
29.0,29.0,14.333333333333334,57,110.8,0.0,97.97,1.0,0
26.0,29.2,15.0,58,110.8,0.0,97.97,1.0,0
31.333333333333332,31.4,16.666666666666668,59,110.8,0.0,97.97,1.0,1
31.0,29.4,17.333333333333332,60,110.8,0.0,97.97,1.0,0
34.333333333333336,30.2,20.0,61,110.8,0.0,97.97,1.0,1
30.333333333333332,32.2,20.666666666666668,62,110.8,0.0,97.97,1.0,1
32.666666666666664,33.4,21.333333333333332,63,110.8,0.0,97.97,1.0,0
32.0,30.6,17.666666666666668,64,110.8,0.0,97.97,1.0,1
27.666666666666668,30.2,16.0,65,110.8,0.0,97.97,1.0,0
27.666666666666668,29.4,16.333333333333332,66,110.8,0.0,97.97,1.0,1
26.666666666666668,28.4,20.666666666666668,67,110.8,0.0,97.97,1.0,1
31.333333333333332,29.4,21.666666666666668,68,110.8,0.0,97.97,1.0,1
33.333333333333336,30.2,23.0,69,110.8,0.0,97.97,1.0,1
35.333333333333336,33.0,21.666666666666668,70,110.8,0.0,97.97,1.0,1
30.666666666666668,31.2,22.0,71,110.8,0.0,97.97,1.0,0
28.0,31.0,21.333333333333332,72,110.8,0.0,97.97,1.0,0
21.333333333333332,27.0,18.0,73,110.8,0.0,97.97,1.0,0
7.0,7.0,9.0,1,115.4,0.0,103.58,0.0,1
9.5,9.5,7.5,2,115.4,0.0,103.58,0.0,1
